Organism,Morphology,Gram Nature,Optimal Media,Optimal Media Composition (per 100ml),Differential Media,Differential Media Composition,Biochemical Test,Origin/Source,Optimal Growth Temperature (°C),Optimal Growth pH,Optimal Growth Aerobic Conditions
Tsukamurella paurometabola,"Rod-shaped, branching filaments, gram positive, 0.5 to 1 micrometer in diameter",Gram positive,Middlebrook 7H10 Agar,"Base salts 0.6 g, L-asparagine 0.4 g, Ferric ammonium citrate 0.04 g, Zinc sulfate 0.001 g, Copper sulfate 0.001 g, Malachite green 0.0002 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive branching rod, Partially acid-fast, Catalase positive, Non-motile, Slow growing","Environmental organism, causes opportunistic infections","35,36,37","6.8,7,7.2",Aerobe
Dietzia maris,"Rod-shaped, short, gram positive, 0.5 to 1 micrometer in diameter",Gram positive,Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod, Catalase positive, Non-motile, Aerobic, Non-sporing actinomycete","Marine environment, rare human pathogen","20,25,30,37","7,7.2,7.5",Aerobe
Nocardiopsis dassonvillei,"Rod-shaped to filamentous, branching, 0.5 to 1 micrometer in diameter",Gram positive,Actinomycete Isolation Agar,"Starch 1.0 g, Casein 0.3 g, Sodium nitrate 0.2 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive branching rod, Weakly acid-fast, Catalase positive, Non-motile, Aerobic, Produces white colonies","Environmental organism, soil, causes cutaneous and systemic infections",37,"7,7.2,7.5",Aerobe
Actinobaculum massiliense,"Rod-shaped, gram positive, anaerobic, 0.5 to 1 micrometer in diameter",Gram positive,Brain Heart Infusion Agar,"Brain heart infusion 1.0 g, Agar 1.5 g",Brucella Agar anaerobic,"Brucella agar base 1.5 g, Sheep blood 5 ml, Agar 1.5 g","Gram positive rod, Catalase negative, Non-motile, Anaerobic, Produces small colonies","Normal flora, rare human pathogen from urinary tract","35,36,37","7,7.2,7.5",Anaerobe
Vagococcus fluvialis,"Cocci, gram positive, 0.5 to 1 micrometer in diameter",Gram positive,Brain Heart Infusion Agar,"Brain heart infusion 1.0 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive coccus, Catalase negative, Non-motile, Vancomycin resistant, Non-hemolytic","Environmental organism, water systems, rare human pathogen","20,25,30,37","6.5,7,7.5",Facultative anaerobe
Ignatzschineria indica,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter",Gram negative,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",MacConkey Agar,"Peptone 1.7 g, Lactose 1.0 g, Sodium chloride 0.5 g, Phenol red 0.03 g, Bile salts 0.15 g, Agar 1.5 g","Gram negative rod, Oxidase variable, Catalase positive, Non-motile, Non-fermenting","Environmental organism, rare human pathogen",37,"7,7.2,7.5",Facultative anaerobe
Pandoraea apista,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",MacConkey Agar,"Peptone 1.7 g, Lactose 1.0 g, Sodium chloride 0.5 g, Phenol red 0.03 g, Bile salts 0.15 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Non-lactose fermenting","Cystic fibrosis patient respiratory tract, emerging pathogen","30,32,37","7,7.2,7.5",Aerobe
Tessaracoccus lapidicaptus,"Cocci, gram positive, 0.5 to 1 micrometer in diameter",Gram positive,Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive coccus, Catalase positive, Non-motile, Aerobic, Produces white opaque colonies","Environmental organism, rock surfaces, rare human pathogen","20,25,30,37","7,7.2,7.5",Aerobe
Parvimonas micra,"Cocci, gram positive, anaerobic, 0.5 to 1 micrometer in diameter",Gram positive,Brucella Agar anaerobic,"Brucella agar base 1.5 g, Sheep blood 5 ml, Agar 1.5 g",Fusobacterium Anaerobic Agar,"Brain heart infusion agar 1.0 g, Blood 5 ml, Hemin 0.0005 g, Menadione 0.00005 g, Agar 1.5 g","Gram positive coccus, Catalase negative, Non-motile, Anaerobic, Produces small glistening colonies","Oral flora, causes anaerobic infections",37,"7,7.2,7.5",Strict anaerobe
Lawsonella clevelandensis,"Rod-shaped, gram positive, 0.5 to 1 micrometer in diameter",Gram positive,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",Brucella Agar,"Brucella agar base 1.5 g, Sheep blood 5 ml, Agar 1.5 g","Gram positive rod, Catalase variable, Non-motile, Slow growing, Produces small colonies","Environmental organism, rare human pathogen","35,36,37","7,7.2,7.5",Facultative anaerobe
Bergeyella zoohelcum,"Rod-shaped, slender, gram negative, non-motile, 0.5 to 2 micrometers in length",Gram negative,5 percent Sheep Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",Chocolate Agar (without vancomycin),"Peptone 1.5 g, Sodium chloride 0.5 g, Cornstarch 0.1 g, Dipotassium phosphate 0.4 g, Monopotassium phosphate 0.1 g, Hemin solution 0.01 g, Nicotinamide adenine dinucleotide (NAD) 0.0005 g, Agar 1.0 g","Gram negative rod, Oxidase positive, Catalase positive, Non-motile, Non-lactose fermenting, Urease positive, Indole positive","Upper respiratory tract of dogs and cats, causes infections after animal bites","35,36,37","7,7.2,7.5",Aerobe with 5 percent carbon dioxide preferred
Dermabacter hominis,"Rod-shaped, gram positive, 0.5 to 1 micrometer in diameter",Gram positive,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",Blood Agar with extended incubation,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod, Catalase positive, Non-motile, Non-hemolytic or alpha-hemolytic","Skin flora, rare opportunistic pathogen",37,"7,7.2,7.5",Facultative anaerobe
Helcococcus kunzii,"Cocci, gram positive, 0.5 to 1 micrometer in diameter",Gram positive,Brain Heart Infusion Agar,"Brain heart infusion 1.0 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive coccus, Catalase negative, Non-motile, Non-hemolytic",Rare human pathogen from wound infections,37,"6.5,7,7.5",Anaerobe or microaerophile
Marinobacter hydrocarbonoclasticus,"Rod-shaped, gram negative, 0.8 to 1.2 micrometers in diameter",Gram negative,Marine Broth 2216,"Peptone 0.5 g, Yeast extract 0.1 g, Sodium chloride 1.9 g, Potassium chloride 0.05 g, Magnesium chloride 0.08 g, Agar 1.5 g",Marine Agar,Same as Marine Broth 2216,"Gram negative rod, Oxidase positive, Catalase positive, Motile, Hydrocarbon degrading","Marine environment, environmental organism","20,25,30,37","6.5,7,7.5,8",Aerobe
Peptostreptococcus anaerobius,"Cocci, gram positive, anaerobic, 0.5 to 1 micrometer in diameter",Gram positive,Brucella Agar anaerobic,"Brucella agar base 1.5 g, Sheep blood 5 ml, Agar 1.5 g",Fusobacterium Anaerobic Agar,"Brain heart infusion agar 1.0 g, Blood 5 ml, Hemin 0.0005 g, Menadione 0.00005 g, Agar 1.5 g","Gram positive coccus, Catalase negative, Non-motile, Anaerobic, Produces small colonies","Normal flora, causes anaerobic infections",37,"7,7.2,7.5",Strict anaerobe
Actinomyces europaeus,"Rod-shaped, branching filaments, gram positive, 0.2 to 0.5 micrometers in diameter",Gram positive,Brain Heart Infusion Agar,"Brain heart infusion 1.0 g, Agar 1.5 g",Brucella Agar with blood,"Brucella agar base 1.5 g, Sheep blood 5 ml, Agar 1.5 g","Gram positive branching rod, Catalase negative, Non-motile, Anaerobic to microaerophilic, Forms rosette-like colonies","Oral flora, causes actinomycosis","35,36,37","7,7.2,7.5",Microaerophile to anaerobe
Actinomyces radingae,"Rod-shaped, branching filaments, gram positive, 0.2 to 0.5 micrometers in diameter",Gram positive,Brain Heart Infusion Agar,"Brain heart infusion 1.0 g, Agar 1.5 g",Brucella Agar with blood,"Brucella agar base 1.5 g, Sheep blood 5 ml, Agar 1.5 g","Gram positive branching rod, Catalase negative, Non-motile, Esculin hydrolysis positive, CAMP test positive","Oral flora, causes actinomycosis","35,36,37","7,7.2,7.5",Microaerophile
Enorma massiliensis,"Rod-shaped, gram positive, 0.5 to 1 micrometer in diameter",Gram positive,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",Blood Agar with extended incubation,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod, Catalase variable, Non-motile, Slow growing, Produces small colonies",Rare human pathogen,"35,36,37","7,7.2,7.5",Facultative anaerobe
Ignavigranum ruoffiae,"Rod-shaped, gram positive, 0.5 to 1 micrometer in diameter",Gram positive,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",Blood Agar with extended incubation,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod, Catalase negative, Non-motile, Slow growing, Produces small colonies",Rare human pathogen,"35,36,37","7,7.2,7.5",Anaerobe or facultative anaerobe
Catabacter hongkongensis,"Rod-shaped, gram positive, 0.5 to 1 micrometer in diameter",Gram positive,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",Blood Agar with extended incubation,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod, Catalase negative, Non-motile, Slow growing, Produces small colonies",Rare human pathogen from Hong Kong,"35,36,37","7,7.2,7.5",Anaerobe or facultative anaerobe
Clostridium novyi type C,"Rod-shaped, straight, 0.5 to 1 micrometer in diameter, terminal spores",Gram positive,Reinforced Clostridial Medium,"Tryptone 1.0 g, Beef extract 0.3 g, Yeast extract 0.5 g, Sodium chloride 0.05 g, Sodium acetate 0.3 g, Agar 1.5 g",Blood Agar Anaerobic,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod with spores, Catalase negative, Non-motile, Produces narrow hemolysis zone","Environmental organism, livestock pathogen, causes gas gangrene",37,"7,7.2,7.5",Strict anaerobe
Christensenella minuta,"Cocci, gram positive, 0.5 to 1 micrometer in diameter",Gram positive,Brain Heart Infusion Agar,"Brain heart infusion 1.0 g, Agar 1.5 g",Blood Agar anaerobic,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive coccus, Catalase negative, Non-motile, Anaerobic, Produces very small glistening colonies","Rare human pathogen, associated with weight phenotypes",37,"7,7.2,7.5",Strict anaerobe
Enorma massiliensis,"Rod-shaped, gram positive, 0.5 to 1 micrometer in diameter",Gram positive,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",Blood Agar with extended incubation,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod, Catalase variable, Non-motile, Slow growing, Produces small colonies",Rare human pathogen,"35,36,37","7,7.2,7.5",Facultative anaerobe
Ignavigranum ruoffiae,"Rod-shaped, gram positive, 0.5 to 1 micrometer in diameter",Gram positive,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",Blood Agar with extended incubation,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod, Catalase negative, Non-motile, Slow growing, Produces small colonies",Rare human pathogen,"35,36,37","7,7.2,7.5",Anaerobe or facultative anaerobe
Catabacter hongkongensis,"Rod-shaped, gram positive, 0.5 to 1 micrometer in diameter",Gram positive,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",Blood Agar with extended incubation,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod, Catalase negative, Non-motile, Slow growing, Produces small colonies",Rare human pathogen from Hong Kong,"35,36,37","7,7.2,7.5",Anaerobe or facultative anaerobe
Clostridium novyi type C,"Rod-shaped, straight, 0.5 to 1 micrometer in diameter, terminal spores",Gram positive,Reinforced Clostridial Medium,"Tryptone 1.0 g, Beef extract 0.3 g, Yeast extract 0.5 g, Sodium chloride 0.05 g, Sodium acetate 0.3 g, Agar 1.5 g",Blood Agar Anaerobic,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod with spores, Catalase negative, Non-motile, Produces narrow hemolysis zone","Environmental organism, livestock pathogen, causes gas gangrene",37,"7,7.2,7.5",Strict anaerobe
Christensenella minuta,"Cocci, gram positive, 0.5 to 1 micrometer in diameter",Gram positive,Brain Heart Infusion Agar,"Brain heart infusion 1.0 g, Agar 1.5 g",Blood Agar anaerobic,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive coccus, Catalase negative, Non-motile, Anaerobic, Produces very small glistening colonies","Rare human pathogen, associated with weight phenotypes",37,"7,7.2,7.5",Strict anaerobe
Peptoniphilus gorbachii,"Cocci, gram positive, anaerobic, 0.5 to 1 micrometer in diameter",Gram positive,Brucella Agar anaerobic,"Brucella agar base 1.5 g, Sheep blood 5 ml, Agar 1.5 g",Fusobacterium Anaerobic Agar,"Brain heart infusion agar 1.0 g, Blood 5 ml, Hemin 0.0005 g, Menadione 0.00005 g, Agar 1.5 g","Gram positive coccus, Catalase negative, Non-motile, Anaerobic, Produces small glistening colonies","Anaerobic pathogen, rare human isolate",37,"7,7.2,7.5",Strict anaerobe
Marcrococcus lamae,"Cocci, gram positive, 0.5 to 1.5 micrometers in diameter",Gram positive,Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive coccus, Catalase positive, Non-motile, Aerobic, Produces yellow pigment","Environmental organism, skin flora","20,25,30,37","7,7.2,7.5",Aerobe
Ignatzschineria larvae,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter",Gram negative,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",MacConkey Agar,"Peptone 1.7 g, Lactose 1.0 g, Sodium chloride 0.5 g, Phenol red 0.03 g, Bile salts 0.15 g, Agar 1.5 g","Gram negative rod, Oxidase variable, Catalase positive, Non-motile, Non-fermenting","Environmental organism from insects, rare human pathogen",37,"7,7.2,7.5",Facultative anaerobe
Olsenella uli,"Rod-shaped, gram positive, 0.3 to 0.5 micrometers in diameter",Gram positive,Brain Heart Infusion Agar,"Brain heart infusion 1.0 g, Agar 1.5 g",Brucella Agar with blood anaerobic,"Brucella agar base 1.5 g, Sheep blood 5 ml, Agar 1.5 g","Gram positive rod, Catalase negative, Non-motile, Anaerobic, Forms small colonies","Oral flora, rare human pathogen",37,"6.5,7,7.5",Anaerobe
Pseudomonas syringae,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,King B Medium,"Proteose peptone 2.0 g, Magnesium sulfate 0.15 g, Potassium phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Selective media for Pseudomonas,"Gelatin peptone 2.0 g, Magnesium chloride 0.14 g, Potassium sulfate 1.0 g, Cetrimide 0.03 g, Glycerol 1.0 ml, Agar 1.36 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Fluorescent under UV light at 254 nm","Plant pathogen, causes leaf spots and necrosis, ubiquitous in environment","25,28,30,37","6.5,7,7.5",Aerobe
Ralstonia solanacearum,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,SMSA Medium or Potato Dextrose Agar,"Potato extract 2.0 g, Dextrose 0.1 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g or Selective medium with antibiotics",SMSA selective medium,"Potato extract 2.0 g, Dextrose 0.1 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g with selective antibiotics","Gram negative rod, Oxidase positive, Catalase positive, Motile, Aerobic, Produces yellow mucoid colonies","Plant pathogen, causes bacterial wilt, major agricultural pest","28,30,32,37","6.5,7,7.5",Aerobe
Agrobacterium tumefaciens,"Rod-shaped, gram negative, 0.5 to 1 micrometer in diameter, motile with polar flagella",Gram negative,YM Medium or Trypticase Soy Agar,"Yeast extract 0.3 g, Malt extract 0.3 g, Peptone 0.5 g, Dextrose 0.1 g, Agar 1.5 g or Trypticase soy agar 1.5 g",Selective medium,"YM Agar: Peptone 0.5 g, Yeast extract 0.3 g, Malt extract 0.3 g, Dextrose 1.0 g, Agar 2.0 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Produces small white colonies","Plant pathogen, causes crown gall, produces Ti plasmid","25,28,30,37","6.5,7,7.5",Aerobe
Xanthomonas campestris,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,Yeast Extract Peptone Glucose Agar or Trypticase Soy Agar,"Yeast extract 0.1 g, Peptone 0.1 g, Glucose 0.05 g, Agar 1.5 g or Trypticase soy agar 1.5 g",Selective Xanthomonas medium,"Peptone 20.0 g, Yeast extract 10.0 g, Glucose (Dextrose) 20.0 g, Agar 15.0 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Yellow pigmented mucoid colonies, Produces xanthan gum","Plant pathogen, causes black rot in vegetables and crucifer crops","25,28,30,37","7,7.2,7.5",Aerobe
Erwinia amylovora,"Rod-shaped, gram negative, 0.5 to 0.7 micrometers in diameter, motile with peritrichous flagella",Gram negative,Luria Bertani Broth or Nutrient Agar,"Tryptone 1.0 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g or Nutrient agar 1.5 g",Selective medium,"LB or Nutrient Agar Base 3.6 g, Sodium Chloride 0.5 g, Distilled Water 100 ml, Selective Antibiotics","Gram negative rod, Oxidase negative, Catalase positive, Motile, Non-fluorescent, Mucoid cream-colored colonies","Plant pathogen, causes fire blight in apple and pear trees","25,28,30,37","6.5,7,7.5",Aerobe
Clavibacter michiganensis,"Rod-shaped, gram positive, 0.5 to 0.8 micrometers in diameter, non-motile",Gram positive,Nutrient Agar or Trypticase Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g or Trypticase soy agar 1.5 g",Clark Differential Medium,"Peptone 0.5 g, Yeast extract 0.3 g, Sodium chloride 0.5 g, Disodium phosphate 0.042 g, Monopotassium phosphate 0.025 g, Magnesium sulfate 0.1 g, Ferric ammonium citrate 0.05 g, Sodium thiosulfate 0.3 g, Bromothymol blue 0.04 g, Agar 1.5 ","Gram positive rod, Catalase positive, Non-motile, Slow growing, Produces small translucent colonies","Plant pathogen, causes bacterial wilt in tomato and other solanaceae","25,28,30,37","6.5,7,7.5",Aerobe with reduced oxygen preference
Pectobacterium carotovorum,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with peritrichous flagella",Gram negative,King B Medium or Nutrient Agar,"Proteose peptone 2.0 g, Magnesium sulfate 0.15 g, Potassium phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Crystal Violet Pectate medium,"Proteose peptone 20.0 g, Glycerol 10.0 ml, Dipotassium hydrogen phosphate 1.5 g, Magnesium sulfate 1.5 g, Agar 15.0 g, Crystal violet 0.001 g ","Gram negative rod, Oxidase positive, Catalase positive, Motile, Pectinolytic enzymes positive, Produces yellow colonies","Plant pathogen, causes soft rot in stored vegetables","25,28,30,37","6.5,7,7.5",Facultative anaerobe
Xylella fastidiosa,"Rod-shaped, gram negative, 0.25 to 0.35 micrometers in diameter, non-motile",Gram negative,PD2 or PTSMIA Medium,"Peptone 1.0 g, Dextrose 1.0 g, Yeast extract 0.1 g, Sodium pyruvate 0.1 g, Sodium chloride 0.5 g, Agar 1.5 g with specialized growth factors",PD2 selective medium,"Potato infusion 40.0 ml, Dextrose 2.0 g, Agar 1.5 g","Gram negative rod, Catalase positive, Non-motile, Fastidious, Slow growing, Produces small translucent colonies","Plant pathogen, causes Pierce disease in grapes and citrus variegated chlorosis","26,28,30,37","6.5,7,7.5","Aerobe, slow-growing fastidious"
Acidovorax avenae,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,Nutrient Agar or King B Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Selective medium,"Proteose peptone 20.0 g, Glycerol 10.0 ml, Dipotassium hydrogen phosphate 1.5 g, Magnesium sulfate 1.5 g, Agar 15.0 g, Crystal violet 0.001 g per","Gram negative rod, Oxidase positive, Catalase positive, Motile, Non-fluorescent","Plant pathogen, causes leaf streak in cereals","25,28,30,37","6.5,7,7.5",Aerobe
Dickeya dadantii,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with peritrichous flagella",Gram negative,Nutrient Agar or Luria Bertani Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Crystal Violet Pectate medium," Tryptone 0.5 g, Yeast extract 0.3 g, Sodium chloride 0.5 g, Crystal violet 0.001 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Pectinolytic enzymes positive","Plant pathogen, causes soft rot in vegetables and ornamentals","25,28,30,37","6.5,7,7.5",Facultative anaerobe
Pseudomonas fluorescens,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,King B Medium or Nutrient Agar,"Proteose peptone 2.0 g, Magnesium sulfate 0.15 g, Potassium phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Selective Pseudomonas medium,"Gelatin peptone 2.0 g, Magnesium chloride 0.14 g, Potassium sulfate 1.0 g, Cetrimide 0.03 g, Glycerol 1.0 ml, Agar 1.36 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Fluorescent under UV at 254 nm","Environmental organism, plant rhizosphere, biocontrol agent","25,28,30,37","6.5,7,7.5",Aerobe
Xanthomonas oryzae,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,Yeast Extract Peptone Glucose Agar,"Yeast extract 0.1 g, Peptone 0.1 g, Glucose 0.05 g, Agar 1.5 g",Selective Xanthomonas medium,"Peptone 2.0 g, Yeast extract 1.0 g, Dextrose 2.0 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Yellow pigmented mucoid colonies","Plant pathogen, causes bacterial leaf blight in rice","25,28,30,37","7,7.2,7.5",Aerobe
Burkholderia glumae,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,Nutrient Agar or Luria Bertani Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Selective medium,"Nutrient Agar Base 3.6 g, Sodium Chloride 0.5 g, Distilled Water 100 ml, Selective Antibiotics","Gram negative rod, Oxidase positive, Catalase positive, Motile, Non-fluorescent","Plant pathogen, causes rice panicle blight","25,28,30,37","6.5,7,7.5",Aerobe
Pantoea stewartii,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with peritrichous flagella",Gram negative,Nutrient Agar or MacConkey Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",MacConkey Agar,"Peptone 1.7 g, Lactose 1.0 g, Sodium chloride 0.5 g, Phenol red 0.03 g, Bile salts 0.15 g, Agar 1.5 g","Gram negative rod, Oxidase negative, Catalase positive, Motile, Lactose fermenting","Plant pathogen, causes Stewart wilt in corn","25,28,30,37","6.5,7,7.5",Facultative anaerobe
Xanthomonas vesicatoria,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,Yeast Extract Peptone Glucose Agar,"Yeast extract 0.1 g, Peptone 0.1 g, Glucose 0.05 g, Agar 1.5 g",Selective Xanthomonas medium,"Peptone 2.0 g, Yeast extract 1.0 g, Dextrose 2.0 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Yellow pigmented colonies","Plant pathogen, causes bacterial spot in pepper and tomato","25,28,30,37","7,7.2,7.5",Aerobe
Ralstonia pickettii,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,Nutrient Agar or King B Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Selective medium,"Peptone 0.5 g, Beef extract 0.15 g, Sodium chloride 0.5 g, Agar 1.5 g, plus selective agents such as crystal violet 0.001 g or antibiotics","Gram negative rod, Oxidase positive, Catalase positive, Motile, Non-fluorescent","Environmental organism, occasional plant pathogen","25,28,30,37","6.5,7,7.5",Aerobe
Erwinia tracheiphila,"Rod-shaped, gram negative, 0.5 to 0.7 micrometers in diameter, motile with peritrichous flagella",Gram negative,Luria Bertani Broth or Nutrient Agar,"Tryptone 1.0 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Selective medium,"Tryptone 1.0 g, Yeast extract 0.5 g, Sodium chloride 1.0 g, Agar 1.2 g","Gram negative rod, Oxidase negative, Catalase positive, Motile, Produces small translucent colonies","Plant pathogen, causes cucurbit wilt in pumpkin and squash","25,28,30,37","6.5,7,7.5",Facultative anaerobe
